WUI_covered_pop,id,year
517122672.992067,0,2000
632323947.800721,0,2010
829207018.556605,0,2020
10022585,1,2000
79451448,2,2000
28395330,3,2000
8792092,4,2000
65547516,5,2000
58694532,6,2000
19884956,7,2000
24293524,8,2000
24480778,9,2000
17121982,10,2000
129107712,11,2000
33096690,12,2000
10058582,13,2000
6749430,14,2000
11331963,1,2010
88410488,2,2010
34040500,3,2010
11304578,4,2010
77198808,5,2010
62413972,6,2010
23652864,7,2010
38395416,8,2010
32944880,9,2010
17558726,10,2010
167403712,11,2010
46759064,12,2010
11902472,13,2010
7325157,14,2010
14390261,1,2020
104984048,2,2020
48028984,3,2020
16927866,4,2020
93726152,5,2020
70097520,6,2020
39513468,7,2020
61160572,8,2020
47052356,9,2020
18710096,10,2020
221604704,11,2020
65214400,12,2020
18220766,13,2020
7457578,14,2020
