WUI,id,year
68735.5390625,1,2000
389954.4375,2,2000
65658.796875,3,2000
11383.6171875,4,2000
97277.5,5,2000
185268.890625,6,2000
35307.61328125,7,2000
58516.6015625,8,2000
60651.0859375,9,2000
99193.6484375,10,2000
251486.6875,11,2000
34308.25,12,2000
20111.86328125,13,2000
44909.45703125,14,2000
71411.390625,1,2010
397922.25,2,2010
67576.734375,3,2010
12985.2939453125,4,2010
103556.8671875,5,2010
190378.796875,6,2010
37096.34765625,7,2010
62223.15625,8,2010
64417.59375,9,2010
99035.7578125,10,2010
284499.78125,11,2010
41460.18359375,12,2010
20558.447265625,13,2010
45884.015625,14,2010
95593.1171875,1,2020
478756.59375,2,2020
85061.234375,3,2020
16248.8740234375,4,2020
128803.6953125,5,2020
199072.75,6,2020
67093.265625,7,2020
85213.71875,8,2020
91535.0625,9,2020
132721.34375,10,2020
405606.65625,11,2020
59594.78515625,12,2020
31459.33984375,13,2020
53343.83203125,14,2020
